mag_id,T00,T01,T02,T03,T04
0,1.2803791148754425e-05,1.2765034275558356e-05,1.2765034275558356e-05,1.2765034275558356e-05,0.9999489011060246
1,1.687305003071366e-05,1.6806989786445274e-05,1.6806989786445274e-05,1.6806989786445274e-05,0.9999327059806099
2,1.4292464827271518e-05,1.4237626944703461e-05,1.4237626944703461e-05,1.4237626944703461e-05,0.9999429946543387
3,1.4600343382465775e-05,1.4547187032369777e-05,1.4547187032369777e-05,1.4547187032369777e-05,0.9999417580955204
4,1.3871532165462592e-05,1.3826690140068e-05,1.3826690140068e-05,1.3826690140068e-05,0.9999446483974143
5,1.523352079597459e-05,1.516052241291734e-05,1.516052241291734e-05,1.516052241291734e-05,0.9999392849119654
6,1.6279391905175922e-05,1.6195154134563463e-05,1.6195154134563463e-05,1.6195154134563463e-05,0.9999351351456912
7,0.1783010182617247,1.6685612211513618e-05,1.6685612211513618e-05,1.6685612211513618e-05,0.8216489249016408
8,1.627974373887855e-05,1.6171644003975966e-05,1.6171644003975966e-05,1.6171644003975966e-05,0.9999352053242492
9,1.6588642156111846e-05,1.6480569332050117e-05,1.6480569332050117e-05,1.6480569332050117e-05,0.9999339696498477
