term_str,n,n_chars,p,i,max_pos,max_pos_group,stop,stem_porter,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_sentiment
abandoned,2,9,1.5157486282474914e-05,16.009609957636428,VBN,VB,0,abandon,1,0,0,1,0,1,0,1,0,0,-1
abandonment,1,11,7.578743141237457e-06,17.009609957636428,NN,NN,0,abandon,1,0,0,1,0,1,0,1,1,0,-1
abortion,5,8,3.7893715706187286e-05,14.687681862749066,NN,NN,0,abort,0,0,1,1,0,1,0,1,0,0,-1
absence,6,7,4.5472458847424745e-05,14.424647456915272,NN,NN,0,absenc,0,0,0,1,0,1,0,1,0,0,-1
absentee,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,absente,0,0,0,0,0,1,0,1,0,0,-1
abuse,3,5,2.2736229423712372e-05,15.424647456915272,NN,NN,0,abus,1,0,1,1,0,1,0,1,0,0,-1
academic,3,8,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,academ,0,0,0,0,0,0,1,0,0,1,1
accident,13,8,9.852366083608696e-05,13.309170239495336,NN,NN,0,accid,0,0,0,1,0,1,0,1,1,0,-1
accidental,2,10,1.5157486282474914e-05,16.009609957636428,JJ,JJ,0,accident,0,0,0,1,0,1,0,0,1,0,-1
accolade,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,accolad,0,1,0,0,1,0,1,0,1,1,1
accomplished,3,12,2.2736229423712372e-05,15.424647456915272,VBN,VB,0,accomplish,0,0,0,0,1,0,1,0,0,0,1
accredited,1,10,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,accredit,0,0,0,0,0,0,1,0,0,1,1
accurate,24,8,0.0001818898353896,12.424647456915272,JJ,JJ,0,accur,0,0,0,0,0,0,1,0,0,1,1
accused,24,7,0.0001818898353896,12.424647456915272,VBN,VB,0,accus,1,0,0,1,0,1,0,0,0,0,-1
accusing,3,8,2.2736229423712372e-05,15.424647456915272,VBG,VB,0,accus,1,0,0,1,0,1,0,0,0,0,-1
achieve,5,7,3.7893715706187286e-05,14.687681862749066,VB,VB,0,achiev,0,0,0,0,1,0,1,0,0,1,1
achievement,12,11,9.094491769484948e-05,13.424647456915272,NN,NN,0,achiev,0,1,0,0,1,0,1,0,0,1,1
aching,1,6,7.578743141237457e-06,17.009609957636428,VBG,VB,0,ach,0,0,0,0,0,1,0,1,0,0,-1
addresses,5,9,3.7893715706187286e-05,14.687681862749066,NNS,NN,0,address,0,1,0,0,0,0,1,0,0,0,1
admirable,1,9,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,admir,0,0,0,0,1,0,1,0,0,1,1
admiral,3,7,2.2736229423712372e-05,15.424647456915272,JJ,NN,0,admir,0,0,0,0,0,0,1,0,0,1,1
admire,3,6,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,admir,0,0,0,0,0,0,1,0,0,1,1
adultery,1,8,7.578743141237457e-06,17.009609957636428,NN,NN,0,adulteri,0,0,1,0,0,1,0,1,0,0,-1
advance,6,7,4.5472458847424745e-05,14.424647456915272,NN,NN,0,advanc,0,1,0,1,1,0,1,0,1,0,1
adventure,1,9,7.578743141237457e-06,17.009609957636428,NN,NN,0,adventur,0,1,0,0,0,0,1,0,0,0,1
advise,2,6,1.5157486282474914e-05,16.009609957636428,VB,VB,0,advis,0,0,0,0,0,0,1,0,0,1,1
affection,4,9,3.0314972564949827e-05,15.009609957636428,NN,NN,0,affect,0,0,0,0,1,0,1,0,0,1,1
afraid,8,6,6.0629945129899655e-05,14.009609957636428,JJ,JJ,0,afraid,0,0,0,1,0,1,0,0,0,0,-1
aggravated,1,10,7.578743141237457e-06,17.009609957636428,JJ,JJ,0,aggrav,1,0,0,0,0,1,0,0,0,0,-1
aggressive,3,10,2.2736229423712372e-05,15.424647456915272,JJ,JJ,0,aggress,1,0,0,1,0,1,0,0,0,0,-1
